,file_path,sentence,section,labels, entities,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
51,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,65 Ferri Evelyn 172 Fin Bertrand 78 Fischer Peter 187 Fladby Tormod 124 Fließbach Klaus 137 188 Fortea Juan 41 42 Foroud Tatiana M. 189 Fostinelli Silvia 92 Fox Nick C. 190 Franco-Macías Emlio 191 Frank-García Ana 42 47 192 Froelich Lutz 193 García-Alberca Jose Maria 42 61 García-González Pablo 125 Garcia-Madrona Sebastian 194 Garcia-Ribas Guillermo 194 Giegling Ina 195 Giorgio Giaccone 184 Goldhardt Oliver 179 González-Pérez Antonio 196 Grande Giulia 76 Green Emma 197 Guetta-Baranes Tamar 198 Haapasalo Annakaisa 199 Hadjigeorgiou Georgios 200 Hampel Harald 201 202 Hardy John 203 Hartmann Annette M. 195 Leonenko Ganna 160 Harwood Janet 160 Helisalmi Seppo 204 205 Heneka Michael T. 206 207 Hernández Isabel 42 125 Herrmann Martin J.,AUT,"Ferri Evelyn 172, Peter, Fladby Tormod, Klaus 137, Foroud Tatiana M. 189, Fostinelli Silvia, Frank-García, Froelich Lutz 193, García-Alberca Jose Maria 42 61, García-González Pablo, Garcia-Madrona Sebastian, Garcia-Ribas, Goldhardt Oliver, Green Emma, Haapasalo Annakaisa, Hardy, Hartmann Annette M., Michael T. 206, Martin J.","PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, PERSON, ORG, ORG, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON","3, 44, 54, 82, 114, 136, 197, 224, 242, 274, 300, 329, 394, 459, 499, 572, 587, 679, 731","19, 49, 67, 91, 135, 153, 209, 241, 273, 295, 324, 341, 410, 469, 518, 577, 606, 693, 740",,,,
52,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,208 Hoffmann Per 36 Holmes Clive 209 Vilas Raquel Huerto 59 60 Hulsman Marc 8 210 Jan Biessels Geert 211 Johansson Charlotte 212 213 Kilander Lena 77 Ståhlbom Anne Kinhult 212 213 Kivipelto Miia 214 215 216 217 Koivisto Anne 204 218 219 Kornhuber Johannes 220 Kosmidis Mary H. 221 Lage Carmen 42 62 Laukka Erika J.,AUT,"Holmes Clive, Vilas Raquel Huerto, Hulsman Marc, Lena, Ståhlbom Anne Kinhult, Koivisto Anne, Kornhuber Johannes, Mary H. 221 Lage, Laukka Erika J.","PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON","20, 37, 63, 142, 150, 211, 237, 269, 299","32, 56, 75, 146, 171, 224, 255, 285, 314",,,,
53,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,76 222 Lauria Alessandra 156 Lehtisalo Jenni 204 223 Lerch Ondrej 69 70 Lleó Alberto 41 42 de Munain Adolfo Lopez 42 224 Love Seth 225 Löwemark Malin 77 Luckcuck Lauren 160 Macías Juan 57 MacLeod Catherine A.,AUT,"Lerch Ondrej, Löwemark Malin 77, Luckcuck Lauren, Catherine A.","PERSON, PERSON, PERSON, PERSON","53, 135, 153, 196","65, 152, 168, 208",,,,
54,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,226 Maier Wolfgang 134 137 Mangialasche Francesca 214 Marco Spallazzi 227 Marquié Marta 42 125 Marshall Rachel 160 Montes Angel Martín 42 47 192 Rodríguez Carmen Martínez 228 Mead Simon 229 Medina Miguel 42 152 Meggy Alun 1 Mendoza Silvia 61 Menéndez-González Manuel 228 Mol Merel 73 Montrreal Laura 125 Morgan Kevin 230 Nöthen Markus M. 36 Ngandu Tiia 223 Nordestgaard Børge G. 129 231 Olaso Robert 78 Orellana Adelina 42 125 Orsini Michela 232 Capdevila Maria 42 125 Padovani Alessandro 233 Paolo Caffarra 234 Martinez-Lucas Marta 125 Pericard Pierre 235 Pineda Juan A.,AUT,"Maier Wolfgang, Mangialasche Francesca, Marco Spallazzi 227, Marquié Marta, Marshall, Angel Martín, Rodríguez, Simon, Meggy Alun 1 Mendoza Silvia, Mol Merel, Laura, Morgan, Nöthen Markus M. 36, Olaso Robert, Orellana, Padovani Alessandro, Paolo Caffarra, Juan A.","PERSON, ORG, ORG, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON","4, 27, 54, 74, 95, 122, 145, 180, 211, 271, 294, 304, 321, 387, 403, 469, 493, 564","18, 49, 73, 87, 103, 134, 154, 185, 238, 280, 299, 310, 340, 399, 411, 488, 507, 571",,,,
55,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,57 Pisanu Claudia 236 Polak Thomas 208 Posthuma Danielle 9 Priller Josef 16 237 Puerta Raquel 125 Quenez Olivier 79 Quintela Inés 168 Rábano Alberto 42 152 238 Reinders Marcel J. T. 239 Riederer Peter 240 Olivé Claudia 125 Rongve Arvid 241 242 Allende Irene Rosas 52 53 Rosende-Roca Maitée 42 125 Royo Jose Luis 243 Rubino Elisa 244 Sáez María Eugenia 196 Sakka Paraskevi 245 Saltvedt Ingvild 159 246 García-Gutierrez Fernando 42 125 Sánchez-Arjona María Bernal 191 Sanchez-Garcia Florentino 247 Sánchez-Juan Pascual 42 62 Sánchez-Valle Raquel 248 Sando Sigrid B.,AUT,"Pisanu Claudia, Polak Thomas, Posthuma Danielle, Josef, Raquel, Quintela Inés, J. T. 239 Riederer, Rongve Arvid, Rosende-Roca Maitée, Royo Jose Luis 243 Rubino, García-Gutierrez Fernando","ORG, PERSON, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, ORG, PERSON, ORG","3, 22, 39, 67, 87, 116, 176, 223, 270, 297, 401","17, 34, 56, 72, 93, 129, 194, 235, 289, 322, 426",,,,
56,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,158 159 Scamosci Michela 97 Scarpini Elio 147 186 Scherer Martin 249 Schmid Matthias 207 250 Schott Jonathan M. 190 Selbæk Geir 124 251 Shadrin Alexey A.,AUT,"Scamosci Michela 97, Jonathan M. 190 Selbæk","PERSON, PERSON","8, 100","27, 122",,,,
57,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,"149 Skrobot Olivia 225 Solomon Alina 204 214 Sorbi Sandro 105 106 Sotolongo-Grau Oscar 125 Spottke Annika 207 252 Stordal Eystein 253 Miguel Andrea 125 Tárraga Lluís 42 125 Tesí Niccolo 8 210 Thalamuthu Anbupalam 143 Thomas Tegos 38 Traykov Latchezar 66 Tybjærg-Hansen Anne 71 129 Uitterlinden Andre 254 Ullgren Abbe 212 Ulstein Ingun 251 Valero Sergi 42 125 Van Broeckhoven Christine 255 256 257 Van Dongen Jasper 14 255 256 van Rooij Jeroen 73 258 Vandenberghe Rik 259 260 Vidal Jean-Sebastian 83 Vita Maria Gabriella 110 Vogelgsang Jonathan 33 261 Wagner Michael 188 207 Wallon David 262 Weinhold Leonie 250 Windle Gill 226 Woods Bob 226 Yannakoulia Mary 263 Zulaica Miren 42 264 Ghanbari Mohsen 132 Sachdev Perminder 143 265 Mather Karen 143 Ikram Mohammad Arfan 266 http://orcid.org/0000-0003-4084-5027 Frikke-Schmidt Ruth 71 129 http://orcid.org/0000-0002-8944-1771 Amin Najaf 4 http://orcid.org/0000-0002-3403-2313 Roshchupkin Gennady 130 131 http://orcid.org/0000-0003-0829-7817 Lambert Jean-Charles 6 http://orcid.org/0000-0001-9868-5033 Van Steen Kristel kristel.vansteen@uliege.be 3 7 http://orcid.org/0000-0002-2374-9204 van Duijn Cornelia cornelia.vanduijn@ndph.ox.ac.uk 4 5 132 http://orcid.org/0000-0003-1784-5483 Escott-Price Valentina EscottPriceV@cardiff.ac.uk 1 2 1 https://ror.org/03kk7td41 grid.5600.3 0000 0001 0807 5670 School of Medicine,  Cardiff University,  Cardiff, UK  2 https://ror.org/03kk7td41 grid.5600.3 0000 0001 0807 5670 Centre for Neuropsychiatric Genetics and Genomics, Division of Psychological Medicine and Clinical Neuroscience, School of Medicine,  Cardiff University,  Cardiff, UK  3 https://ror.org/05f950310 grid.5596.f 0000 0001 0668 7884 BIO3 - Systems Medicine, Department of Human Genetics,  KU Leuven,  Leuven, Belgium  4 https://ror.org/052gg0110 grid.4991.5 0000 0004 1936 8948 Nuffield Department of Population Health,  University of Oxford,  Oxford, United Kingdom  5 https://ror.org/052gg0110 grid.4991.5 0000 0004 1936 8948 Centre for Artificial Intelligence in Precision Medicine,  University of Oxford,  Oxford, United Kingdom  6 grid.523099.4 0000 0005 1237 6862 Univ.",AUT,"Solomon Alina, Miguel Andrea, Tárraga, Thalamuthu Anbupalam 143, Thomas Tegos, Traykov Latchezar, Van Dongen Jasper, van Rooij Jeroen, Vandenberghe Rik, Vidal Jean-Sebastian, Maria Gabriella, Vogelgsang Jonathan, Wagner, Michael 188, Yannakoulia Mary 263, Zulaica Miren, Ghanbari Mohsen 132, Ikram Mohammad Arfan, Frikke-Schmidt Ruth, Amin Najaf 4, Roshchupkin, Lambert Jean-Charles 6, Van Steen Kristel, Escott-Price Valentina EscottPriceV@cardiff.ac.uk, School of Medicine, Cardiff University, Genomics, Division of Psychological Medicine and Clinical Neuroscience, School of Medicine, Cardiff University, 7884 BIO3 - Systems Medicine, Department of Human Genetics, KU Leuven, Nuffield Department of Population Health, University of Oxford, Centre for Artificial Intelligence in Precision Medicine, University of Oxford, Univ","PERSON, PERSON, ORG, ORG, PERSON, ORG, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, PERSON, PERSON, ORG, PERSON, PERSON, PERSON, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, ORG, ORG, ORG, PERSON","23, 134, 152, 192, 217, 233, 397, 426, 450, 475, 504, 524, 551, 558, 641, 662, 683, 746, 808, 872, 922, 987, 1047, 1229, 1343, 1364, 1499, 1509, 1571, 1592, 1681, 1711, 1742, 1831, 1874, 1981, 2040, 2123","36, 147, 159, 216, 229, 250, 414, 442, 466, 495, 519, 543, 557, 569, 661, 675, 702, 766, 827, 884, 933, 1009, 1064, 1278, 1361, 1382, 1507, 1569, 1589, 1610, 1709, 1739, 1751, 1871, 1894, 2037, 2060, 2127",,,,
58,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,"Lille, Inserm, CHU Lille, Institut Pasteur de Lille,  LabEx DISTALZ - U1167-RID-AGE Facteurs de risque et déterminants moléculaires des maladies liées au vieillissement,  Lille, France  7 https://ror.org/00afp2z80 grid.4861.b 0000 0001 0805 7253 BIO3 - Systems Genetics, GIGA-R Molecular and Computational Biology,  University of Liege,  Liege, Belgium  8 https://ror.org/05grdyy37 grid.509540.d 0000 0004 6880 3010 Alzheimer Center Amsterdam, Department of Neurology, Amsterdam Neuroscience, Vrije Universiteit Amsterdam,  Amsterdam UMC,  Amsterdam, The Netherlands  9 https://ror.org/01x2d9f70 grid.484519.5 Department of Complex Trait Genetics, Center for Neurogenomics and Cognitive Research, Amsterdam Neuroscience,  Vrije University,  Amsterdam, The Netherlands  10 https://ror.org/00tse2b39 grid.410675.1 0000 0001 2325 3084 Research Center and Memory Clinic,  ACE Alzheimer Center Barcelona.",AUT,"CHU Lille, BIO3 - Systems Genetics, GIGA-R Molecular and Computational Biology, University of Liege, Center Amsterdam, Department of Neurology, Amsterdam Neuroscience, Vrije Universiteit Amsterdam, https://ror.org/01x2d9f70 grid.484519.5 Department, Amsterdam Neuroscience, Vrije University, Research Center and Memory Clinic, ACE Alzheimer Center Barcelona","PERSON, ORG, ORG, ORG, PERSON, ORG, PERSON, PERSON, ORG, PERSON, ORG, ORG, ORG","15, 246, 271, 316, 426, 444, 469, 493, 570, 697, 722, 832, 868","24, 269, 313, 335, 442, 467, 491, 521, 620, 719, 738, 865, 898",,,,
59,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,"Universitat Internacional de Catalunya,  Catalunya, Spain  11 https://ror.org/00ca2c886 grid.413448.e 0000 0000 9314 1427 Networking Research Center on Neurodegenerative Diseases (CIBERNED),  Instituto de Salud Carlos III,  Madrid, Spain  12 https://ror.org/00rcxh774 grid.6190.e 0000 0000 8580 3777 Division of Neurogenetics and Molecular Psychiatry, Department of Psychiatry and Psychotherapy, Faculty of Medicine and University Hospital Cologne,  University of Cologne,  Cologne, Germany  13 https://ror.org/03cqe8w59 grid.423606.5 0000 0001 1945 2152 Estudios en Neurociencias y Sistemas Complejos (ENyS) CONICET-HEC-UNAJ,  Buenos Aires, Argentina  14 https://ror.org/008x57b05 grid.5284.b 0000 0001 0790 3681 Complex Genetics of Alzheimer’s Disease Group, VIB Center for Molecular Neurology,  VIB,  Antwerp, Belgium  15 https://ror.org/008x57b05 grid.5284.b 0000 0001 0790 3681 Department of Biomedical Sciences,  University of Antwerp,  Antwerp, Belgium  16 https://ror.org/043j0f473 grid.424247.3 0000 0004 0438 0426 German Center for Neurodegenerative Diseases (DZNE),  Berlin, Germany  17 https://ror.org/01hcx6992 grid.7468.d 0000 0001 2248 7639 Charité – Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Institute of Psychiatry and Psychotherapy,  Hindenburgdamm 30,  12203 Berlin, Germany  18 https://ror.org/043j0f473 grid.424247.3 0000 0004 0438 0426 German Center for Neurodegenerative Diseases (DZNE),  Bonn, Germany  19 https://ror.org/01xnwqx93 grid.15090.3d 0000 0000 8786 803X Department of Cognitive Disorders and Old Age Psychiatry, University Hospital Bonn,  Venusberg-Campus 1,  53127 Bonn, Germany  20 https://ror.org/02fa5cb34 Institute for Stroke and Dementia Research (ISD), University Hospital,  LMU Munich,  Munich, Germany  21 https://ror.org/043j0f473 grid.424247.3 0000 0004 0438 0426 German Center for Neurodegenerative Diseases (DZNE),  Munich, Germany  22 https://ror.org/025z3z560 grid.452617.3 Munich Cluster for Systems Neurology (SyNergy),  Munich, Germany  23 https://ror.org/05n3x4p02 grid.22937.3d 0000 0000 9259 8492 Department of Psychiatry and Psychotherapy, Comprehensive Center for Clinical Neurosciences and Mental Health (C3NMH),  Medical University of Vienna,  Vienna, Austria  24 https://ror.org/04mz5ra38 grid.5718.b 0000 0001 2187 5445 Department of Psychiatry and Psychotherapy, LVR-Klinikum Essen, University of Duisburg-Essen,  Germany Medical Faculty,  Essen, Germany  25 https://ror.org/03pvr2g57 grid.411760.5 0000 0001 1378 7891 Department of Psychiatry, Psychosomatics and Psychotherapy, Center of Mental Health,  University Hospital of Würzburg,  Würzburg, Germany  26 https://ror.org/03s7gtk40 grid.9647.c 0000 0004 7669 9786 Institute of Social Medicine, Occupational Health and Public Health,  University of Leipzig,  04103 Leipzig, Germany  27 https://ror.org/038t36y30 grid.7700.0 0000 0001 2190 4373 Department of Geriatric Psychiatry, Central Institute for Mental Health Mannheim, Faculty Mannheim,  University of Heidelberg,  Heidelberg, Germany  28 https://ror.org/021018s57 grid.5841.8 0000 0004 1937 0247 Alzheimer’s Disease and Other Cognitive Disorders Unit, Neurology Service, Hospital Clínic of Barcelona, Fundació Recerca Clinic Barcelona- Institut d’Investigacions Biomèdiques August Pi i Sunyer (FRCB-IDIBAPS),  and University of Barcelona,  Barcelona, Spain  29 https://ror.org/02a2kzf50 grid.410458.c 0000 0000 9635 9413 Neurological Tissue Bank - Biobank,  Hospital Clinic-FRCB-IDIBAPS,  Barcelona, Spain  30 https://ror.org/043j0f473 grid.424247.3 0000 0004 0438 0426 German Center for Neurodegenerative Diseases (DZNE),  Magdeburg, Germany  31 https://ror.org/00ggpsq73 grid.5807.a 0000 0001 1018 4307 Institute of Cognitive Neurology and Dementia Research (IKND),  Otto-von-Guericke University,  Magdeburg, Germany  32 https://ror.org/04jc43x05 grid.15474.33 0000 0004 0477 2438 Center for Cognitive Disorders, Department of Psychiatry and Psychotherapy, Technical University of Munich, School of Medicine and Health,  Klinikum rechts der Isar,  Munich, Germany  33 https://ror.org/021ft0n22 grid.411984.1 0000 0001 0482 5331 Department of Psychiatry and Psychotherapy,  University Medical Center Goettingen,  Goettingen, Germany  34 https://ror.org/043j0f473 grid.424247.3 0000 0004 0438 0426 German Center for Neurodegenerative Diseases (DZNE),  Goettingen, Germany  35 Medical Science Department, iBiMED, Aveiro, Portugal  36 https://ror.org/01xnwqx93 grid.15090.3d 0000 0000 8786 803X Institute of Human Genetics, University of Bonn,  School of Medicine & University Hospital Bonn,  Bonn, Germany  37 https://ror.org/04mz5ra38 grid.5718.b 0000 0001 2187 5445 Institute for Urban Public Health,  University Hospital of University Duisburg-Essen,  Essen, Germany  38 https://ror.org/02j61yw88 grid.4793.9 0000 0001 0945 7005 1st Department of Neurology, Medical school,  Aristotle University of Thessaloniki,  Thessaloniki, Makedonia Greece  39 https://ror.org/00hj8s172 grid.21729.3f 0000 0004 1936 8729 Taub Institute for Research in Alzheimer’s Disease and the Aging Brain, The Gertrude H. Sergievsky Center, Depatment of Neurology,  Columbia University,  New York, NY USA  40 https://ror.org/04gnjpq42 grid.5216.0 0000 0001 2155 0800 1st Department of Neurology, Aiginition Hospital, National and Kapodistrian University of Athens,  Medical School,  Athens, Greece  41 https://ror.org/052g8jq94 grid.7080.f 0000 0001 2296 0625 Sant Pau Memory Unit, Institut de Recerca Sant Pau, Department of Neurology, Hospital de la Santa Creu i Sant Pau,  Universitat Autònoma de Barcelona,  Barcelona, Spain  42 https://ror.org/00ca2c886 grid.413448.e 0000 0000 9314 1427 CIBERNED, Network Center for Biomedical Research in Neurodegenerative Diseases,  National Institute of Health Carlos III,  Madrid, Spain  43 https://ror.org/04fkwzm96 grid.414651.3 Department of Neurology.",AUT,"Universitat Internacional de Catalunya, Networking Research Center, CIBERNED, Instituto de Salud Carlos III, Division of Neurogenetics and Molecular Psychiatry, Department of Psychiatry, Psychotherapy, Faculty of Medicine and University Hospital Cologne, University of Cologne, Sistemas Complejos, Buenos Aires, Complex Genetics, VIB Center for Molecular Neurology, VIB, https://ror.org/008x57b05 grid.5284.b 0000 0001, Department of Biomedical Sciences, University of Antwerp, German Center for Neurodegenerative Diseases, DZNE, Universitätsmedizin Berlin, Freie Universität Berlin, Berlin Institute of Health, Institute of Psychiatry, German Center for Neurodegenerative Diseases, DZNE, Department of Cognitive Disorders, Old Age Psychiatry, University Hospital Bonn, Venusberg-Campus 1, https://ror.org/02fa5cb34 Institute for Stroke and Dementia Research, ISD, University Hospital, LMU Munich, German Center for Neurodegenerative Diseases, DZNE, Munich Cluster for Systems Neurology, SyNergy, Department of Psychiatry, Psychotherapy, Comprehensive Center for Clinical Neurosciences and Mental Health (C3NMH, Medical University of Vienna, Department of Psychiatry, University of Duisburg-Essen, Germany Medical Faculty, Department of Psychiatry, Center of Mental Health, University Hospital of Würzburg, Institute of Social Medicine, Occupational Health and Public Health, University of Leipzig, Department of Geriatric Psychiatry, Central Institute for Mental Health Mannheim, Faculty Mannheim, University of Heidelberg, Neurology Service, Hospital Clínic, Fundació Recerca Clinic Barcelona-, University of Barcelona, Hospital Clinic-FRCB-IDIBAPS, German Center for Neurodegenerative Diseases, DZNE, Institute of Cognitive Neurology and, IKND, Otto-von-Guericke University, https://ror.org/04jc43x05 grid.15474.33 0000 0004 0477 2438 Center for Cognitive Disorders,, Department of Psychiatry, Psychotherapy, Technical University of Munich, School of Medicine and Health, Klinikum, Isar, Department of Psychiatry, University Medical Center Goettingen, German Center for Neurodegenerative Diseases, DZNE, Medical Science Department, Institute of Human Genetics, University of Bonn, School of Medicine & University Hospital Bonn, Institute for Urban Public Health, University Hospital of University Duisburg-Essen, 1st Department of Neurology, Medical school, Aristotle University of Thessaloniki, Thessaloniki, Makedonia Greece, https://ror.org/00hj8s172 grid.21729.3f 0000, Taub Institute for Research, the Aging Brain, The Gertrude H. Sergievsky Center, Columbia University, NY USA, Department of Neurology, Aiginition Hospital, National, Kapodistrian University of Athens, Medical School, Institut de Recerca Sant Pau,, Department of Neurology, Hospital de la, Universitat Autònoma de Barcelona, CIBERNED, Network Center for Biomedical Research, Neurodegenerative Diseases, National Institute of Health Carlos III, Department of Neurology","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, PERSON, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, ORG, ORG, PERSON, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, PERSON, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, PERSON, ORG, ORG, ORG, ORG, ORG","0, 122, 180, 192, 300, 352, 381, 450, 583, 628, 714, 761, 798, 825, 883, 919, 1024, 1070, 1166, 1214, 1276, 1454, 1500, 1586, 1624, 1644, 1671, 1716, 1786, 1792, 1814, 1907, 1953, 2021, 2059, 2150, 2179, 2270, 2379, 2443, 2474, 2579, 2639, 2665, 2779, 2849, 2958, 2994, 3040, 3059, 3224, 3243, 3273, 3386, 3530, 3642, 3688, 3777, 3833, 3841, 3895, 3987, 4016, 4095, 4115, 4202, 4247, 4370, 4416, 4448, 4565, 4594, 4615, 4739, 4775, 4903, 4949, 4988, 5002, 5023, 5083, 5138, 5155, 5215, 5247, 5320, 5366, 5379, 5415, 5531, 5561, 5625, 5742, 5752, 5794, 5823, 5923","38, 148, 188, 221, 350, 376, 447, 471, 601, 640, 730, 795, 801, 872, 916, 940, 1068, 1074, 1192, 1238, 1327, 1498, 1504, 1619, 1642, 1668, 1689, 1784, 1789, 1811, 1824, 1951, 1957, 2057, 2066, 2174, 2266, 2298, 2403, 2471, 2497, 2603, 2662, 2696, 2846, 2870, 2992, 3038, 3056, 3083, 3241, 3258, 3307, 3409, 3558, 3686, 3692, 3813, 3837, 3869, 3986, 4011, 4092, 4103, 4119, 4226, 4283, 4414, 4420, 4474, 4592, 4612, 4660, 4772, 4823, 4946, 4985, 5000, 5018, 5067, 5110, 5153, 5188, 5234, 5253, 5364, 5374, 5412, 5429, 5560, 5600, 5658, 5750, 5790, 5820, 5862, 5946",,,,
60,C:\Users\arsal\Desktop\Document-Query-System\machine_learning\PMC12280214\sections\1_front\1_article-meta\6_contrib-group.xml,"Hospital Universitario Donostia,  San Sebastian, Spain  44 Neurosciences Area, Instituto Biogipuzkoa, San Sebastian, Spain  45 https://ror.org/05pq8vh42 grid.466828.6 0000 0004 1793 8484 Unitat de Genètica Molecular,  Institut de Biomedicina de València-CSIC,  Valencia, Spain  46 https://ror.org/03v9e8t09 grid.465524.4 Centro de Biología Molecular Severo Ochoa (UAM-CSIC),  Madrid, Spain  47 https://ror.org/01s1q0w69 grid.81821.32 0000 0000 8970 9163 Instituto de Investigacion Sanitaria ‘Hospital la Paz’ (IdIPaz),  Madrid, Spain  48 https://ror.org/01cby8j38 grid.5515.4 0000 0001 1957 8126 Universidad Autónoma de Madrid,  Madrid, Spain  49 Fundació Docència i Recerca MútuaTerrassa, Terrassa, Barcelona, Spain  50 https://ror.org/011335j04 grid.414875.b 0000 0004 1794 4956 Memory Disorders Unit, Department of Neurology, Hospital Universitari Mutua de Terrassa,  Terrassa,  Barcelona, Spain  51 https://ror.org/021018s57 grid.5841.8 0000 0004 1937 0247 Alzheimer’s disease and other cognitive disorders unit.",AUT,"Instituto Biogipuzkoa, Unitat de Genètica Molecular, Institut de Biomedicina de València-CSIC, Valencia, grid.465524.4 Centro de Biología Molecular Severo Ochoa, UAM-CSIC, Instituto de Investigacion Sanitaria ‘Hospital la Paz, Universidad Autónoma de Madrid, Memory Disorders Unit, Department of Neurology,, Universitari Mutua de Terrassa, Terrassa","PERSON, ORG, ORG, PERSON, PERSON, ORG, ORG, ORG, ORG, ORG, PERSON, PERSON","79, 187, 218, 261, 307, 364, 454, 596, 781, 804, 838, 871","100, 215, 258, 269, 362, 372, 507, 626, 802, 828, 868, 879",,,,
